,code1,code2,code3,code4
1507,N,O,P,V
1508,F,D,G,
1509,U,Q,R,T
1510,R,T,,
1511,X,,,
1512,A,C,D,G
1513,I,J,X,
1514,T,,,
1515,X,,,
1516,X,,,
1517,G,,,
1518,B,C,D,G
1519,P,V,,
1520,W,S,R,T
1521,R,T,,
1522,E,F,D,G
1523,Q,R,T,
1524,A,C,D,G
1525,X,,,
1526,O,P,V,
1527,W,S,R,T
1528,V,,,
1529,R,T,,
1530,K,J,X,
1531,W,S,R,T
1532,I,J,X,
1533,N,O,P,V
1534,Q,R,T,
1535,M,O,P,V
1536,C,D,G,
1537,D,G,,
1538,E,F,D,G
1539,W,S,R,T
1540,F,D,G,
1541,E,F,D,G
1542,C,D,G,
1543,L,O,P,V
1544,M,O,P,V
1545,C,D,G,
1546,C,D,G,
1547,J,X,,
1548,T,,,
1549,U,Q,R,T
1550,T,,,
1551,S,R,T,
1552,K,J,X,
1553,K,J,X,
1554,O,P,V,
1555,D,G,,
1556,M,O,P,V
1557,A,C,D,G
1558,C,D,G,
1559,H,I,J,X
1560,N,O,P,V
1561,J,X,,
1562,T,,,
1563,D,G,,
1564,K,J,X,
1565,D,G,,
1566,L,O,P,V
1567,O,P,V,
1568,J,X,,
1569,E,F,D,G
1570,H,I,J,X
1571,V,,,
1572,I,J,X,
1573,L,O,P,V
1574,K,J,X,
1575,R,T,,
1576,Q,R,T,
1577,H,I,J,X
1578,M,O,P,V
1579,N,O,P,V
1580,A,C,D,G
1581,K,J,X,
1582,H,I,J,X
1583,G,,,
1584,W,S,R,T
1585,L,O,P,V
1586,S,R,T,
1587,D,G,,
1588,G,,,
1589,G,,,
1590,I,J,X,
1591,L,O,P,V
1592,G,,,
1593,H,I,J,X
1594,L,O,P,V
1595,S,R,T,
1596,D,G,,
1597,U,Q,R,T
1598,Q,R,T,
1599,U,Q,R,T
1600,F,D,G,
1601,C,D,G,
1602,I,J,X,
1603,U,Q,R,T
1604,N,O,P,V
1605,B,C,D,G
1606,X,,,
1607,I,J,X,
1608,G,,,
1609,I,J,X,
1610,E,F,D,G
1611,C,D,G,
1612,V,,,
1613,V,,,
1614,P,V,,
1615,U,Q,R,T
1616,B,C,D,G
1617,A,C,D,G
1618,H,I,J,X
1619,L,O,P,V
1620,E,F,D,G
1621,T,,,
1622,K,J,X,
1623,O,P,V,
1624,O,P,V,
1625,N,O,P,V
1626,H,I,J,X
1627,M,O,P,V
1628,M,O,P,V
1629,D,G,,
1630,P,V,,
1631,B,C,D,G
1632,K,J,X,
1633,T,,,
1634,W,S,R,T
1635,R,T,,
1636,H,I,J,X
1637,E,F,D,G
1638,X,,,
1639,T,,,
1640,T,,,
1641,J,X,,
1642,W,S,R,T
1643,F,D,G,
1644,Q,R,T,
1645,V,,,
1646,L,O,P,V
1647,V,,,
1648,E,F,D,G
1649,X,,,
1650,H,I,J,X
1651,Q,R,T,
1652,M,O,P,V
1653,U,Q,R,T
1654,F,D,G,
1655,O,P,V,
1656,J,X,,
1657,B,C,D,G
1658,W,S,R,T
1659,P,V,,
1660,N,O,P,V
1661,X,,,
1662,E,F,D,G
1663,L,O,P,V
1664,C,D,G,
1665,A,C,D,G
1666,U,Q,R,T
1667,W,S,R,T
1668,P,V,,
1669,E,F,D,G
1670,K,J,X,
1671,T,,,
1672,V,,,
1673,T,,,
1674,B,C,D,G
1675,T,,,
1676,F,D,G,
1677,B,C,D,G
1678,X,,,
1679,A,C,D,G
1680,X,,,
1681,T,,,
1682,F,D,G,
1683,O,P,V,
1684,C,D,G,
1685,C,D,G,
1686,W,S,R,T
1687,O,P,V,
1688,V,,,
1689,C,D,G,
1690,I,J,X,
1691,N,O,P,V
1692,P,V,,
1693,N,O,P,V
1694,I,J,X,
1695,E,F,D,G
1696,O,P,V,
1697,O,P,V,
1698,Q,R,T,
1699,P,V,,
1700,L,O,P,V
1701,H,I,J,X
1702,Q,R,T,
1703,B,C,D,G
1704,F,D,G,
1705,Q,R,T,
1706,R,T,,
1707,P,V,,
1708,T,,,
1709,V,,,
1710,I,J,X,
1711,W,S,R,T
1712,F,D,G,
1713,C,D,G,
1714,T,,,
1715,F,D,G,
1716,L,O,P,V
1717,Q,R,T,
1718,H,I,J,X
1719,Q,R,T,
1720,U,Q,R,T
1721,D,G,,
1722,F,D,G,
1723,B,C,D,G
1724,P,V,,
1725,D,G,,
1726,O,P,V,
1727,J,X,,
1728,U,Q,R,T
1729,M,O,P,V
1730,U,Q,R,T
1731,V,,,
1732,E,F,D,G
1733,I,J,X,
1734,K,J,X,
1735,C,D,G,
1736,G,,,
1737,W,S,R,T
1738,Q,R,T,
1739,O,P,V,
1740,N,O,P,V
1741,H,I,J,X
1742,J,X,,
1743,N,O,P,V
1744,K,J,X,
1745,U,Q,R,T
1746,V,,,
1747,N,O,P,V
1748,F,D,G,
1749,T,,,
1750,L,O,P,V
1751,J,X,,
1752,L,O,P,V
1753,R,T,,
1754,K,J,X,
1755,S,R,T,
1756,K,J,X,
1757,P,V,,
1758,J,X,,
1759,Q,R,T,
1760,O,P,V,
1761,B,C,D,G
1762,E,F,D,G
1763,I,J,X,
1764,M,O,P,V
1765,X,,,
1766,H,I,J,X
1767,F,D,G,
1768,S,R,T,
1769,L,O,P,V
1770,B,C,D,G
1771,P,V,,
1772,C,D,G,
1773,V,,,
1774,Q,R,T,
1775,L,O,P,V
1776,E,F,D,G
1777,N,O,P,V
1778,E,F,D,G
1779,W,S,R,T
1780,D,G,,
1781,K,J,X,
1782,P,V,,
1783,T,,,
1784,R,T,,
1785,F,D,G,
1786,I,J,X,
1787,I,J,X,
1788,N,O,P,V
1789,T,,,
1790,P,V,,
1791,W,S,R,T
1792,M,O,P,V
1793,F,D,G,
1794,K,J,X,
1795,P,V,,
1796,H,I,J,X
1797,N,O,P,V
1798,W,S,R,T
1799,E,F,D,G
1800,K,J,X,
1801,E,F,D,G
1802,Q,R,T,
1803,D,G,,
1804,I,J,X,
1805,B,C,D,G
1806,O,P,V,
1807,T,,,
1808,K,J,X,
1809,M,O,P,V
1810,B,C,D,G
1811,C,D,G,
1812,P,V,,
1813,S,R,T,
1814,M,O,P,V
1815,H,I,J,X
1816,R,T,,
1817,H,I,J,X
1818,E,F,D,G
1819,A,C,D,G
1820,W,S,R,T
1821,S,R,T,
1822,U,Q,R,T
1823,F,D,G,
1824,R,T,,
1825,Q,R,T,
1826,D,G,,
1827,W,S,R,T
1828,J,X,,
1829,V,,,
1830,W,S,R,T
1831,J,X,,
1832,J,X,,
1833,E,F,D,G
1834,T,,,
1835,E,F,D,G
1836,A,C,D,G
1837,X,,,
1838,O,P,V,
1839,L,O,P,V
1840,V,,,
1841,T,,,
1842,Q,R,T,
1843,H,I,J,X
1844,V,,,
1845,X,,,
1846,M,O,P,V
1847,F,D,G,
1848,T,,,
1849,R,T,,
1850,A,C,D,G
1851,G,,,
1852,N,O,P,V
1853,E,F,D,G
1854,F,D,G,
1855,R,T,,
1856,D,G,,
1857,D,G,,
1858,T,,,
1859,M,O,P,V
1860,E,F,D,G
1861,W,S,R,T
1862,K,J,X,
1863,T,,,
1864,D,G,,
1865,T,,,
1866,J,X,,
1867,H,I,J,X
1868,Q,R,T,
1869,P,V,,
1870,V,,,
1871,H,I,J,X
1872,J,X,,
1873,H,I,J,X
1874,I,J,X,
1875,F,D,G,
1876,V,,,
1877,M,O,P,V
1878,S,R,T,
1879,W,S,R,T
1880,I,J,X,
1881,M,O,P,V
1882,T,,,
1883,N,O,P,V
1884,D,G,,
1885,R,T,,
1886,M,O,P,V
1887,D,G,,
1888,K,J,X,
1889,H,I,J,X
1890,F,D,G,
1891,K,J,X,
1892,V,,,
1893,Q,R,T,
1894,V,,,
1895,H,I,J,X
1896,B,C,D,G
1897,P,V,,
1898,B,C,D,G
1899,N,O,P,V
1900,G,,,
1901,U,Q,R,T
1902,B,C,D,G
1903,B,C,D,G
1904,T,,,
1905,W,S,R,T
1906,O,P,V,
1907,W,S,R,T
1908,M,O,P,V
1909,P,V,,
1910,V,,,
1911,M,O,P,V
1912,C,D,G,
1913,N,O,P,V
1914,H,I,J,X
1915,H,I,J,X
1916,V,,,
1917,S,R,T,
1918,I,J,X,
1919,B,C,D,G
1920,H,I,J,X
1921,H,I,J,X
1922,V,,,
1923,V,,,
1924,O,P,V,
1925,I,J,X,
1926,Q,R,T,
1927,F,D,G,
1928,M,O,P,V
1929,B,C,D,G
1930,W,S,R,T
1931,O,P,V,
1932,P,V,,
1933,J,X,,
1934,L,O,P,V
1935,I,J,X,
1936,T,,,
1937,D,G,,
1938,F,D,G,
1939,W,S,R,T
1940,K,J,X,
1941,D,G,,
1942,M,O,P,V
1943,X,,,
1944,N,O,P,V
1945,K,J,X,
1946,W,S,R,T
1947,L,O,P,V
1948,B,C,D,G
1949,I,J,X,
1950,N,O,P,V
1951,G,,,
1952,A,C,D,G
1953,H,I,J,X
1954,P,V,,
1955,R,T,,
1956,B,C,D,G
1957,C,D,G,
1958,I,J,X,
1959,B,C,D,G
1960,N,O,P,V
1961,H,I,J,X
1962,C,D,G,
1963,G,,,
1964,V,,,
1965,Q,R,T,
1966,E,F,D,G
1967,K,J,X,
1968,F,D,G,
1969,T,,,
1970,J,X,,
1971,M,O,P,V
1972,H,I,J,X
1973,P,V,,
1974,W,S,R,T
1975,O,P,V,
1976,I,J,X,
1977,L,O,P,V
1978,H,I,J,X
1979,R,T,,
1980,T,,,
1981,U,Q,R,T
1982,A,C,D,G
1983,K,J,X,
1984,M,O,P,V
1985,N,O,P,V
1986,W,S,R,T
1987,S,R,T,
1988,E,F,D,G
1989,R,T,,
1990,H,I,J,X
1991,B,C,D,G
1992,E,F,D,G
1993,L,O,P,V
1994,T,,,
1995,P,V,,
1996,A,C,D,G
1997,L,O,P,V
1998,V,,,
1999,C,D,G,
2000,S,R,T,
2001,B,C,D,G
2002,B,C,D,G
2003,B,C,D,G
2004,W,S,R,T
2005,P,V,,
2006,J,X,,
2007,U,Q,R,T
2008,N,O,P,V
2009,L,O,P,V
2010,E,F,D,G
2011,S,R,T,
2012,T,,,
2013,A,C,D,G
2014,X,,,
2015,P,V,,
2016,V,,,
2017,W,S,R,T
2018,C,D,G,
2019,P,V,,
2020,H,I,J,X
2021,C,D,G,
2022,L,O,P,V
2023,J,X,,
2024,P,V,,
2025,N,O,P,V
2026,D,G,,
2027,O,P,V,
2028,R,T,,
2029,W,S,R,T
2030,T,,,
2031,H,I,J,X
2032,M,O,P,V
2033,A,C,D,G
2034,N,O,P,V
2035,X,,,
2036,H,I,J,X
2037,V,,,
2038,I,J,X,
2039,I,J,X,
2040,F,D,G,
2041,F,D,G,
2042,V,,,
2043,W,S,R,T
2044,K,J,X,
2045,B,C,D,G
2046,M,O,P,V
2047,I,J,X,
2048,R,T,,
2049,S,R,T,
2050,L,O,P,V
2051,P,V,,
2052,R,T,,
2053,D,G,,
2054,X,,,
2055,M,O,P,V
2056,V,,,
2057,P,V,,
2058,J,X,,
2059,U,Q,R,T
2060,V,,,
2061,B,C,D,G
2062,W,S,R,T
2063,H,I,J,X
2064,L,O,P,V
2065,W,S,R,T
2066,K,J,X,
2067,M,O,P,V
2068,I,J,X,
2069,F,D,G,
2070,Q,R,T,
2071,M,O,P,V
2072,X,,,
2073,U,Q,R,T
2074,T,,,
2075,W,S,R,T
2076,H,I,J,X
2077,I,J,X,
2078,W,S,R,T
2079,C,D,G,
2080,N,O,P,V
2081,X,,,
2082,O,P,V,
2083,H,I,J,X
2084,K,J,X,
2085,R,T,,
2086,F,D,G,
2087,L,O,P,V
2088,Q,R,T,
2089,H,I,J,X
2090,E,F,D,G
2091,O,P,V,
2092,N,O,P,V
2093,X,,,
2094,Q,R,T,
2095,K,J,X,
2096,K,J,X,
2097,R,T,,
2098,B,C,D,G
2099,F,D,G,
2100,O,P,V,
2101,X,,,
2102,J,X,,
2103,D,G,,
2104,I,J,X,
2105,D,G,,
2106,H,I,J,X
2107,O,P,V,
2108,T,,,
2109,C,D,G,
2110,V,,,
2111,P,V,,
2112,W,S,R,T
2113,K,J,X,
2114,M,O,P,V
2115,G,,,
2116,E,F,D,G
2117,Q,R,T,
2118,F,D,G,
2119,D,G,,
2120,W,S,R,T
2121,K,J,X,
2122,I,J,X,
2123,E,F,D,G
2124,I,J,X,
2125,S,R,T,
2126,G,,,
2127,S,R,T,
2128,H,I,J,X
2129,T,,,
2130,L,O,P,V
2131,N,O,P,V
2132,Q,R,T,
2133,O,P,V,
2134,Q,R,T,
2135,K,J,X,
2136,T,,,
2137,A,C,D,G
2138,V,,,
2139,U,Q,R,T
2140,U,Q,R,T
2141,P,V,,
2142,O,P,V,
2143,V,,,
2144,S,R,T,
2145,O,P,V,
2146,M,O,P,V
2147,L,O,P,V
2148,S,R,T,
2149,R,T,,
2150,L,O,P,V
2151,F,D,G,
2152,O,P,V,
2153,C,D,G,
2154,D,G,,
2155,N,O,P,V
2156,M,O,P,V
2157,E,F,D,G
2158,L,O,P,V
2159,J,X,,
2160,M,O,P,V
2161,G,,,
2162,B,C,D,G
2163,W,S,R,T
2164,U,Q,R,T
2165,C,D,G,
2166,Q,R,T,
2167,B,C,D,G
2168,M,O,P,V
2169,D,G,,
2170,B,C,D,G
2171,C,D,G,
2172,D,G,,
2173,Q,R,T,
2174,E,F,D,G
2175,Q,R,T,
2176,W,S,R,T
2177,X,,,
2178,I,J,X,
2179,N,O,P,V
2180,T,,,
2181,S,R,T,
2182,C,D,G,
2183,S,R,T,
2184,T,,,
2185,I,J,X,
2186,M,O,P,V
2187,S,R,T,
2188,G,,,
2189,W,S,R,T
2190,U,Q,R,T
2191,U,Q,R,T
2192,X,,,
2193,E,F,D,G
2194,K,J,X,
2195,H,I,J,X
2196,Q,R,T,
2197,B,C,D,G
2198,O,P,V,
2199,H,I,J,X
2200,E,F,D,G
2201,X,,,
2202,G,,,
2203,L,O,P,V
2204,J,X,,
2205,B,C,D,G
2206,I,J,X,
2207,J,X,,
2208,O,P,V,
2209,C,D,G,
2210,H,I,J,X
2211,P,V,,
2212,P,V,,
2213,A,C,D,G
2214,B,C,D,G
2215,B,C,D,G
2216,X,,,
2217,N,O,P,V
2218,Q,R,T,
2219,X,,,
2220,M,O,P,V
2221,W,S,R,T
2222,D,G,,
2223,V,,,
2224,M,O,P,V
2225,J,X,,
2226,N,O,P,V
2227,W,S,R,T
2228,C,D,G,
2229,L,O,P,V
2230,L,O,P,V
2231,T,,,
2232,D,G,,
2233,O,P,V,
2234,H,I,J,X
2235,Q,R,T,
2236,B,C,D,G
2237,T,,,
2238,I,J,X,
2239,Q,R,T,
2240,H,I,J,X
2241,S,R,T,
2242,N,O,P,V
2243,S,R,T,
2244,R,T,,
2245,B,C,D,G
2246,F,D,G,
2247,H,I,J,X
2248,A,C,D,G
2249,C,D,G,
2250,C,D,G,
2251,W,S,R,T
2252,F,D,G,
2253,I,J,X,
2254,C,D,G,
2255,X,,,
2256,Q,R,T,
2257,J,X,,
2258,N,O,P,V
2259,H,I,J,X
2260,C,D,G,
2261,E,F,D,G
2262,X,,,
2263,X,,,
2264,H,I,J,X
2265,K,J,X,
2266,B,C,D,G
2267,C,D,G,
2268,W,S,R,T
2269,W,S,R,T
2270,R,T,,
2271,T,,,
2272,N,O,P,V
2273,L,O,P,V
2274,U,Q,R,T
2275,U,Q,R,T
2276,D,G,,
2277,L,O,P,V
2278,F,D,G,
2279,C,D,G,
2280,S,R,T,
2281,K,J,X,
2282,E,F,D,G
2283,R,T,,
2284,C,D,G,
2285,J,X,,
2286,A,C,D,G
2287,Q,R,T,
2288,K,J,X,
2289,K,J,X,
2290,V,,,
2291,M,O,P,V
2292,I,J,X,
2293,K,J,X,
2294,W,S,R,T
2295,S,R,T,
2296,D,G,,
2297,B,C,D,G
2298,O,P,V,
2299,T,,,
2300,T,,,
2301,T,,,
2302,I,J,X,
2303,S,R,T,
2304,H,I,J,X
2305,V,,,
2306,I,J,X,
2307,I,J,X,
2308,R,T,,
2309,B,C,D,G
2310,V,,,
2311,X,,,
2312,O,P,V,
2313,R,T,,
2314,X,,,
2315,L,O,P,V
2316,J,X,,
2317,A,C,D,G
2318,B,C,D,G
2319,T,,,
2320,X,,,
2321,C,D,G,
2322,O,P,V,
2323,G,,,
2324,O,P,V,
2325,Q,R,T,
2326,C,D,G,
2327,B,C,D,G
2328,I,J,X,
2329,R,T,,
2330,K,J,X,
2331,D,G,,
2332,L,O,P,V
2333,I,J,X,
2334,Q,R,T,
2335,C,D,G,
2336,P,V,,
2337,J,X,,
2338,J,X,,
2339,R,T,,
2340,M,O,P,V
2341,W,S,R,T
2342,S,R,T,
2343,D,G,,
2344,H,I,J,X
2345,T,,,
2346,N,O,P,V
2347,G,,,
2348,J,X,,
2349,B,C,D,G
2350,K,J,X,
2351,W,S,R,T
2352,J,X,,
2353,C,D,G,
2354,M,O,P,V
2355,Q,R,T,
2356,B,C,D,G
2357,C,D,G,
2358,M,O,P,V
2359,K,J,X,
2360,F,D,G,
2361,R,T,,
2362,A,C,D,G
2363,W,S,R,T
2364,O,P,V,
2365,D,G,,
2366,A,C,D,G
2367,R,T,,
2368,Q,R,T,
2369,U,Q,R,T
2370,P,V,,
2371,B,C,D,G
2372,K,J,X,
2373,I,J,X,
2374,F,D,G,
2375,O,P,V,
2376,I,J,X,
2377,G,,,
2378,V,,,
2379,F,D,G,
2380,U,Q,R,T
2381,Q,R,T,
2382,Q,R,T,
2383,N,O,P,V
2384,T,,,
2385,K,J,X,
2386,N,O,P,V
2387,G,,,
2388,H,I,J,X
2389,V,,,
2390,Q,R,T,
2391,X,,,
2392,S,R,T,
2393,V,,,
2394,T,,,
2395,T,,,
2396,P,V,,
2397,X,,,
2398,X,,,
2399,W,S,R,T
2400,V,,,
2401,M,O,P,V
2402,C,D,G,
2403,B,C,D,G
2404,B,C,D,G
2405,J,X,,
2406,N,O,P,V
2407,E,F,D,G
2408,R,T,,
2409,H,I,J,X
2410,K,J,X,
2411,M,O,P,V
2412,E,F,D,G
2413,E,F,D,G
2414,E,F,D,G
2415,V,,,
2416,M,O,P,V
2417,U,Q,R,T
2418,F,D,G,
2419,V,,,
2420,G,,,
2421,E,F,D,G
2422,S,R,T,
2423,N,O,P,V
2424,U,Q,R,T
2425,O,P,V,
2426,X,,,
2427,B,C,D,G
2428,P,V,,
2429,F,D,G,
2430,Q,R,T,
2431,O,P,V,
2432,I,J,X,
2433,K,J,X,
2434,H,I,J,X
2435,D,G,,
2436,R,T,,
2437,K,J,X,
2438,I,J,X,
2439,E,F,D,G
2440,T,,,
2441,W,S,R,T
2442,E,F,D,G
2443,W,S,R,T
2444,H,I,J,X
2445,B,C,D,G
2446,T,,,
2447,P,V,,
2448,S,R,T,
2449,V,,,
2450,U,Q,R,T
2451,W,S,R,T
2452,G,,,
2453,F,D,G,
2454,S,R,T,
2455,H,I,J,X
2456,U,Q,R,T
2457,C,D,G,
2458,A,C,D,G
2459,J,X,,
2460,P,V,,
2461,O,P,V,
2462,M,O,P,V
2463,L,O,P,V
2464,T,,,
2465,R,T,,
2466,L,O,P,V
2467,P,V,,
2468,X,,,
2469,O,P,V,
2470,K,J,X,
2471,F,D,G,
2472,S,R,T,
2473,X,,,
2474,J,X,,
2475,Q,R,T,
2476,G,,,
2477,E,F,D,G
2478,R,T,,
2479,H,I,J,X
2480,J,X,,
2481,F,D,G,
2482,W,S,R,T
2483,O,P,V,
2484,N,O,P,V
2485,G,,,
2486,G,,,
2487,H,I,J,X
2488,O,P,V,
2489,K,J,X,
2490,C,D,G,
2491,D,G,,
2492,O,P,V,
2493,B,C,D,G
2494,H,I,J,X
2495,A,C,D,G
2496,T,,,
2497,Q,R,T,
2498,S,R,T,
2499,G,,,
2500,F,D,G,
2501,N,O,P,V
2502,M,O,P,V
2503,S,R,T,
2504,F,D,G,
2505,O,P,V,
2506,G,,,
2507,L,O,P,V
2508,O,P,V,
2509,T,,,
2510,N,O,P,V
2511,K,J,X,
2512,D,G,,
2513,X,,,
2514,X,,,
2515,S,R,T,
2516,K,J,X,
2517,K,J,X,
2518,C,D,G,
2519,U,Q,R,T
2520,O,P,V,
2521,N,O,P,V
2522,J,X,,
2523,A,C,D,G
2524,F,D,G,
2525,M,O,P,V
2526,M,O,P,V
2527,L,O,P,V
2528,E,F,D,G
2529,W,S,R,T
2530,P,V,,
2531,J,X,,
2532,V,,,
2533,K,J,X,
2534,K,J,X,
2535,G,,,
2536,Q,R,T,
2537,F,D,G,
2538,Q,R,T,
2539,I,J,X,
2540,T,,,
2541,Q,R,T,
2542,T,,,
2543,I,J,X,
2544,L,O,P,V
2545,G,,,
2546,D,G,,
2547,E,F,D,G
2548,A,C,D,G
2549,V,,,
2550,C,D,G,
2551,K,J,X,
2552,C,D,G,
2553,F,D,G,
2554,W,S,R,T
2555,W,S,R,T
2556,X,,,
2557,S,R,T,
2558,G,,,
2559,E,F,D,G
2560,R,T,,
2561,A,C,D,G
2562,X,,,
2563,W,S,R,T
2564,O,P,V,
2565,T,,,
2566,Q,R,T,
2567,X,,,
2568,G,,,
2569,O,P,V,
2570,O,P,V,
2571,C,D,G,
2572,E,F,D,G
2573,O,P,V,
2574,K,J,X,
2575,K,J,X,
2576,X,,,
2577,G,,,
2578,V,,,
2579,X,,,
2580,R,T,,
2581,S,R,T,
2582,I,J,X,
2583,S,R,T,
2584,I,J,X,
2585,D,G,,
2586,R,T,,
2587,V,,,
2588,K,J,X,
2589,M,O,P,V
2590,C,D,G,
2591,H,I,J,X
2592,T,,,
2593,M,O,P,V
2594,L,O,P,V
2595,P,V,,
2596,U,Q,R,T
2597,P,V,,
2598,L,O,P,V
2599,F,D,G,
2600,Q,R,T,
2601,Q,R,T,
2602,C,D,G,
2603,B,C,D,G
2604,N,O,P,V
2605,I,J,X,
2606,A,C,D,G
2607,P,V,,
2608,S,R,T,
2609,I,J,X,
2610,T,,,
2611,R,T,,
2612,H,I,J,X
2613,G,,,
2614,M,O,P,V
2615,L,O,P,V
2616,C,D,G,
2617,G,,,
2618,T,,,
2619,H,I,J,X
2620,D,G,,
2621,K,J,X,
2622,B,C,D,G
2623,D,G,,
2624,X,,,
2625,D,G,,
2626,T,,,
2627,A,C,D,G
2628,T,,,
2629,F,D,G,
2630,J,X,,
2631,T,,,
2632,T,,,
2633,V,,,
2634,U,Q,R,T
2635,V,,,
2636,V,,,
2637,L,O,P,V
2638,C,D,G,
2639,F,D,G,
2640,P,V,,
2641,X,,,
2642,F,D,G,
2643,T,,,
2644,F,D,G,
2645,F,D,G,
2646,G,,,
2647,W,S,R,T
2648,F,D,G,
2649,H,I,J,X
2650,H,I,J,X
2651,I,J,X,
2652,P,V,,
2653,T,,,
2654,P,V,,
2655,S,R,T,
2656,S,R,T,
2657,B,C,D,G
2658,V,,,
2659,U,Q,R,T
2660,P,V,,
2661,K,J,X,
2662,B,C,D,G
2663,Q,R,T,
2664,Q,R,T,
2665,X,,,
2666,C,D,G,
2667,C,D,G,
2668,S,R,T,
2669,W,S,R,T
2670,R,T,,
2671,T,,,
2672,Q,R,T,
2673,L,O,P,V
2674,S,R,T,
2675,E,F,D,G
2676,N,O,P,V
2677,U,Q,R,T
2678,E,F,D,G
2679,U,Q,R,T
2680,U,Q,R,T
2681,U,Q,R,T
2682,D,G,,
2683,F,D,G,
2684,E,F,D,G
2685,R,T,,
2686,E,F,D,G
2687,O,P,V,
2688,D,G,,
2689,J,X,,
2690,N,O,P,V
2691,G,,,
2692,E,F,D,G
2693,Q,R,T,
2694,K,J,X,
2695,J,X,,
2696,Q,R,T,
2697,P,V,,
2698,K,J,X,
2699,E,F,D,G
2700,Q,R,T,
2701,P,V,,
2702,W,S,R,T
2703,T,,,
2704,V,,,
2705,P,V,,
2706,O,P,V,
2707,T,,,
2708,M,O,P,V
2709,Q,R,T,
2710,J,X,,
2711,R,T,,
2712,G,,,
2713,O,P,V,
2714,J,X,,
2715,M,O,P,V
2716,T,,,
2717,I,J,X,
2718,N,O,P,V
2719,C,D,G,
2720,G,,,
2721,E,F,D,G
2722,E,F,D,G
2723,A,C,D,G
2724,A,C,D,G
2725,O,P,V,
2726,P,V,,
2727,J,X,,
2728,K,J,X,
2729,P,V,,
2730,J,X,,
2731,W,S,R,T
2732,W,S,R,T
2733,N,O,P,V
2734,K,J,X,
2735,C,D,G,
2736,A,C,D,G
2737,P,V,,
2738,G,,,
2739,W,S,R,T
2740,L,O,P,V
2741,G,,,
2742,W,S,R,T
2743,H,I,J,X
2744,S,R,T,
2745,T,,,
2746,W,S,R,T
2747,R,T,,
2748,N,O,P,V
2749,W,S,R,T
2750,U,Q,R,T
2751,I,J,X,
2752,D,G,,
2753,W,S,R,T
2754,M,O,P,V
2755,H,I,J,X
2756,H,I,J,X
2757,T,,,
2758,D,G,,
2759,O,P,V,
2760,U,Q,R,T
2761,G,,,
2762,H,I,J,X
2763,H,I,J,X
2764,Q,R,T,
2765,G,,,
2766,X,,,
2767,Q,R,T,
2768,N,O,P,V
2769,C,D,G,
2770,C,D,G,
2771,B,C,D,G
2772,X,,,
2773,R,T,,
2774,I,J,X,
2775,R,T,,
2776,K,J,X,
2777,X,,,
2778,E,F,D,G
2779,T,,,
2780,V,,,
2781,E,F,D,G
2782,B,C,D,G
2783,P,V,,
2784,W,S,R,T
2785,H,I,J,X
2786,H,I,J,X
2787,C,D,G,
2788,A,C,D,G
2789,J,X,,
2790,T,,,
2791,B,C,D,G
2792,F,D,G,
2793,S,R,T,
2794,S,R,T,
2795,C,D,G,
2796,N,O,P,V
2797,Q,R,T,
2798,Q,R,T,
2799,R,T,,
2800,B,C,D,G
2801,I,J,X,
2802,D,G,,
2803,M,O,P,V
2804,C,D,G,
2805,C,D,G,
2806,R,T,,
2807,L,O,P,V
2808,A,C,D,G
2809,A,C,D,G
2810,O,P,V,
2811,G,,,
2812,K,J,X,
2813,O,P,V,
2814,G,,,
2815,N,O,P,V
2816,U,Q,R,T
2817,B,C,D,G
2818,U,Q,R,T
2819,V,,,
2820,E,F,D,G
2821,B,C,D,G
2822,X,,,
2823,W,S,R,T
2824,I,J,X,
2825,O,P,V,
2826,W,S,R,T
2827,U,Q,R,T
2828,X,,,
2829,I,J,X,
2830,L,O,P,V
2831,H,I,J,X
2832,K,J,X,
2833,R,T,,
2834,L,O,P,V
2835,F,D,G,
2836,C,D,G,
2837,H,I,J,X
2838,I,J,X,
2839,E,F,D,G
2840,K,J,X,
2841,M,O,P,V
2842,X,,,
2843,C,D,G,
2844,G,,,
2845,F,D,G,
2846,R,T,,
2847,F,D,G,
2848,M,O,P,V
2849,E,F,D,G
2850,T,,,
2851,I,J,X,
2852,E,F,D,G
2853,T,,,
2854,I,J,X,
2855,P,V,,
2856,L,O,P,V
2857,A,C,D,G
2858,U,Q,R,T
2859,B,C,D,G
2860,V,,,
2861,E,F,D,G
2862,D,G,,
2863,Q,R,T,
2864,Q,R,T,
2865,B,C,D,G
2866,N,O,P,V
2867,T,,,
2868,J,X,,
2869,M,O,P,V
2870,E,F,D,G
2871,X,,,
2872,G,,,
2873,W,S,R,T
2874,U,Q,R,T
2875,J,X,,
2876,Q,R,T,
2877,R,T,,
2878,A,C,D,G
2879,F,D,G,
2880,V,,,
2881,B,C,D,G
2882,H,I,J,X
2883,J,X,,
2884,R,T,,
2885,C,D,G,
2886,A,C,D,G
2887,D,G,,
2888,H,I,J,X
2889,X,,,
2890,T,,,
2891,O,P,V,
2892,M,O,P,V
2893,I,J,X,
2894,F,D,G,
2895,R,T,,
2896,L,O,P,V
2897,H,I,J,X
2898,B,C,D,G
2899,D,G,,
2900,X,,,
2901,T,,,
2902,V,,,
2903,M,O,P,V
2904,A,C,D,G
2905,P,V,,
2906,W,S,R,T
2907,U,Q,R,T
2908,N,O,P,V
2909,D,G,,
