,code1,code2,code3,code4
1505,D,G,,
1506,P,V,,
1507,X,,,
1508,D,G,,
1509,K,J,X,
1510,R,T,,
1511,I,J,X,
1512,W,S,R,T
1513,S,R,T,
1514,N,O,P,V
1515,Q,R,T,
1516,X,,,
1517,I,J,X,
1518,D,G,,
1519,Q,R,T,
1520,U,Q,R,T
1521,M,O,P,V
1522,U,Q,R,T
1523,P,V,,
1524,W,S,R,T
1525,R,T,,
1526,U,Q,R,T
1527,H,I,J,X
1528,N,O,P,V
1529,D,G,,
1530,K,J,X,
1531,O,P,V,
1532,F,D,G,
1533,U,Q,R,T
1534,V,,,
1535,H,I,J,X
1536,U,Q,R,T
1537,N,O,P,V
1538,P,V,,
1539,S,R,T,
1540,H,I,J,X
1541,J,X,,
1542,C,D,G,
1543,J,X,,
1544,U,Q,R,T
1545,D,G,,
1546,X,,,
1547,D,G,,
1548,V,,,
1549,R,T,,
1550,V,,,
1551,S,R,T,
1552,M,O,P,V
1553,V,,,
1554,S,R,T,
1555,R,T,,
1556,S,R,T,
1557,B,C,D,G
1558,C,D,G,
1559,M,O,P,V
1560,D,G,,
1561,U,Q,R,T
1562,T,,,
1563,A,C,D,G
1564,V,,,
1565,S,R,T,
1566,O,P,V,
1567,X,,,
1568,Q,R,T,
1569,M,O,P,V
1570,J,X,,
1571,L,O,P,V
1572,P,V,,
1573,W,S,R,T
1574,K,J,X,
1575,B,C,D,G
1576,S,R,T,
1577,A,C,D,G
1578,Q,R,T,
1579,C,D,G,
1580,I,J,X,
1581,L,O,P,V
1582,A,C,D,G
1583,Q,R,T,
1584,E,F,D,G
1585,N,O,P,V
1586,X,,,
1587,E,F,D,G
1588,A,C,D,G
1589,P,V,,
1590,V,,,
1591,N,O,P,V
1592,L,O,P,V
1593,F,D,G,
1594,U,Q,R,T
1595,L,O,P,V
1596,I,J,X,
1597,H,I,J,X
1598,W,S,R,T
1599,L,O,P,V
1600,C,D,G,
1601,R,T,,
1602,W,S,R,T
1603,S,R,T,
1604,P,V,,
1605,J,X,,
1606,G,,,
1607,M,O,P,V
1608,K,J,X,
1609,X,,,
1610,U,Q,R,T
1611,J,X,,
1612,D,G,,
1613,D,G,,
1614,H,I,J,X
1615,W,S,R,T
1616,A,C,D,G
1617,P,V,,
1618,K,J,X,
1619,M,O,P,V
1620,L,O,P,V
1621,N,O,P,V
1622,V,,,
1623,U,Q,R,T
1624,D,G,,
1625,M,O,P,V
1626,R,T,,
1627,C,D,G,
1628,A,C,D,G
1629,D,G,,
1630,X,,,
1631,J,X,,
1632,M,O,P,V
1633,W,S,R,T
1634,V,,,
1635,E,F,D,G
1636,B,C,D,G
1637,F,D,G,
1638,V,,,
1639,G,,,
1640,H,I,J,X
1641,N,O,P,V
1642,M,O,P,V
1643,X,,,
1644,S,R,T,
1645,C,D,G,
1646,M,O,P,V
1647,P,V,,
1648,A,C,D,G
1649,T,,,
1650,E,F,D,G
1651,L,O,P,V
1652,Q,R,T,
1653,N,O,P,V
1654,Q,R,T,
1655,D,G,,
1656,E,F,D,G
1657,F,D,G,
1658,K,J,X,
1659,B,C,D,G
1660,V,,,
1661,W,S,R,T
1662,R,T,,
1663,U,Q,R,T
1664,A,C,D,G
1665,X,,,
1666,P,V,,
1667,M,O,P,V
1668,K,J,X,
1669,D,G,,
1670,L,O,P,V
1671,S,R,T,
1672,A,C,D,G
1673,D,G,,
1674,L,O,P,V
1675,X,,,
1676,H,I,J,X
1677,V,,,
1678,M,O,P,V
1679,D,G,,
1680,M,O,P,V
1681,N,O,P,V
1682,P,V,,
1683,E,F,D,G
1684,T,,,
1685,V,,,
1686,P,V,,
1687,W,S,R,T
1688,F,D,G,
1689,S,R,T,
1690,L,O,P,V
1691,M,O,P,V
1692,Q,R,T,
1693,I,J,X,
1694,L,O,P,V
1695,C,D,G,
1696,C,D,G,
1697,I,J,X,
1698,K,J,X,
1699,T,,,
1700,Q,R,T,
1701,N,O,P,V
1702,D,G,,
1703,Q,R,T,
1704,O,P,V,
1705,C,D,G,
1706,O,P,V,
1707,M,O,P,V
1708,C,D,G,
1709,P,V,,
1710,K,J,X,
1711,G,,,
1712,Q,R,T,
1713,C,D,G,
1714,X,,,
1715,E,F,D,G
1716,E,F,D,G
1717,U,Q,R,T
1718,M,O,P,V
1719,C,D,G,
1720,P,V,,
1721,X,,,
1722,H,I,J,X
1723,A,C,D,G
1724,U,Q,R,T
1725,U,Q,R,T
1726,K,J,X,
1727,L,O,P,V
1728,V,,,
1729,K,J,X,
1730,N,O,P,V
1731,W,S,R,T
1732,S,R,T,
1733,J,X,,
1734,C,D,G,
1735,U,Q,R,T
1736,E,F,D,G
1737,F,D,G,
1738,V,,,
1739,S,R,T,
1740,S,R,T,
1741,U,Q,R,T
1742,R,T,,
1743,T,,,
1744,P,V,,
1745,M,O,P,V
1746,V,,,
1747,D,G,,
1748,V,,,
1749,L,O,P,V
1750,L,O,P,V
1751,M,O,P,V
1752,R,T,,
1753,J,X,,
1754,G,,,
1755,X,,,
1756,U,Q,R,T
1757,Q,R,T,
1758,G,,,
1759,C,D,G,
1760,A,C,D,G
1761,W,S,R,T
1762,P,V,,
1763,S,R,T,
1764,Q,R,T,
1765,E,F,D,G
1766,T,,,
1767,M,O,P,V
1768,L,O,P,V
1769,W,S,R,T
1770,I,J,X,
1771,K,J,X,
1772,E,F,D,G
1773,N,O,P,V
1774,S,R,T,
1775,V,,,
1776,V,,,
1777,W,S,R,T
1778,X,,,
1779,Q,R,T,
1780,L,O,P,V
1781,E,F,D,G
1782,C,D,G,
1783,X,,,
1784,R,T,,
1785,D,G,,
1786,J,X,,
1787,K,J,X,
1788,J,X,,
1789,I,J,X,
1790,I,J,X,
1791,G,,,
1792,C,D,G,
1793,M,O,P,V
1794,D,G,,
1795,D,G,,
1796,T,,,
1797,H,I,J,X
1798,I,J,X,
1799,N,O,P,V
1800,L,O,P,V
1801,N,O,P,V
1802,K,J,X,
1803,G,,,
1804,S,R,T,
1805,B,C,D,G
1806,F,D,G,
1807,C,D,G,
1808,N,O,P,V
1809,D,G,,
1810,I,J,X,
1811,C,D,G,
1812,I,J,X,
1813,N,O,P,V
1814,V,,,
1815,F,D,G,
1816,T,,,
1817,X,,,
1818,I,J,X,
1819,D,G,,
1820,W,S,R,T
1821,T,,,
1822,A,C,D,G
1823,D,G,,
1824,A,C,D,G
1825,A,C,D,G
1826,D,G,,
1827,R,T,,
1828,Q,R,T,
1829,E,F,D,G
1830,F,D,G,
1831,X,,,
1832,F,D,G,
1833,W,S,R,T
1834,B,C,D,G
1835,F,D,G,
1836,E,F,D,G
1837,U,Q,R,T
1838,P,V,,
1839,K,J,X,
1840,B,C,D,G
1841,Q,R,T,
1842,O,P,V,
1843,R,T,,
1844,M,O,P,V
1845,C,D,G,
1846,T,,,
1847,T,,,
1848,A,C,D,G
1849,T,,,
1850,R,T,,
1851,G,,,
1852,X,,,
1853,C,D,G,
1854,X,,,
1855,A,C,D,G
1856,I,J,X,
1857,F,D,G,
1858,X,,,
1859,I,J,X,
1860,E,F,D,G
1861,B,C,D,G
1862,X,,,
1863,M,O,P,V
1864,P,V,,
1865,P,V,,
1866,J,X,,
1867,M,O,P,V
1868,A,C,D,G
1869,M,O,P,V
1870,W,S,R,T
1871,O,P,V,
1872,O,P,V,
1873,O,P,V,
1874,R,T,,
1875,N,O,P,V
1876,H,I,J,X
1877,W,S,R,T
1878,B,C,D,G
1879,F,D,G,
1880,P,V,,
1881,V,,,
1882,D,G,,
1883,I,J,X,
1884,B,C,D,G
1885,C,D,G,
1886,C,D,G,
1887,E,F,D,G
1888,R,T,,
1889,U,Q,R,T
1890,I,J,X,
1891,M,O,P,V
1892,B,C,D,G
1893,C,D,G,
1894,D,G,,
1895,H,I,J,X
1896,A,C,D,G
1897,P,V,,
1898,N,O,P,V
1899,H,I,J,X
1900,C,D,G,
1901,M,O,P,V
1902,U,Q,R,T
1903,N,O,P,V
1904,L,O,P,V
1905,P,V,,
1906,T,,,
1907,N,O,P,V
1908,F,D,G,
1909,N,O,P,V
1910,Q,R,T,
1911,X,,,
1912,I,J,X,
1913,V,,,
1914,J,X,,
1915,M,O,P,V
1916,I,J,X,
1917,C,D,G,
1918,U,Q,R,T
1919,A,C,D,G
1920,C,D,G,
1921,I,J,X,
1922,G,,,
1923,N,O,P,V
1924,X,,,
1925,F,D,G,
1926,E,F,D,G
1927,C,D,G,
1928,V,,,
1929,S,R,T,
1930,P,V,,
1931,M,O,P,V
1932,V,,,
1933,B,C,D,G
1934,Q,R,T,
1935,E,F,D,G
1936,S,R,T,
1937,F,D,G,
1938,U,Q,R,T
1939,E,F,D,G
1940,U,Q,R,T
1941,B,C,D,G
1942,O,P,V,
1943,T,,,
1944,J,X,,
1945,L,O,P,V
1946,S,R,T,
1947,J,X,,
1948,G,,,
1949,D,G,,
1950,I,J,X,
1951,B,C,D,G
1952,Q,R,T,
1953,W,S,R,T
1954,P,V,,
1955,V,,,
1956,W,S,R,T
1957,J,X,,
1958,O,P,V,
1959,J,X,,
1960,N,O,P,V
1961,M,O,P,V
1962,M,O,P,V
1963,B,C,D,G
1964,W,S,R,T
1965,B,C,D,G
1966,O,P,V,
1967,K,J,X,
1968,S,R,T,
1969,U,Q,R,T
1970,N,O,P,V
1971,W,S,R,T
1972,X,,,
1973,S,R,T,
1974,A,C,D,G
1975,R,T,,
1976,E,F,D,G
1977,T,,,
1978,E,F,D,G
1979,K,J,X,
1980,K,J,X,
1981,E,F,D,G
1982,O,P,V,
1983,S,R,T,
1984,G,,,
1985,C,D,G,
1986,T,,,
1987,H,I,J,X
1988,B,C,D,G
1989,U,Q,R,T
1990,W,S,R,T
1991,T,,,
1992,H,I,J,X
1993,H,I,J,X
1994,F,D,G,
1995,Q,R,T,
1996,L,O,P,V
1997,N,O,P,V
1998,V,,,
1999,P,V,,
2000,A,C,D,G
2001,C,D,G,
2002,R,T,,
2003,A,C,D,G
2004,P,V,,
2005,L,O,P,V
2006,K,J,X,
2007,M,O,P,V
2008,U,Q,R,T
2009,G,,,
2010,V,,,
2011,I,J,X,
2012,U,Q,R,T
2013,V,,,
2014,C,D,G,
2015,C,D,G,
2016,L,O,P,V
2017,V,,,
2018,Q,R,T,
2019,L,O,P,V
2020,S,R,T,
2021,S,R,T,
2022,D,G,,
2023,P,V,,
2024,P,V,,
2025,T,,,
2026,U,Q,R,T
2027,Q,R,T,
2028,D,G,,
2029,V,,,
2030,M,O,P,V
2031,L,O,P,V
2032,S,R,T,
2033,W,S,R,T
2034,R,T,,
2035,V,,,
2036,G,,,
2037,M,O,P,V
2038,K,J,X,
2039,O,P,V,
2040,N,O,P,V
2041,R,T,,
2042,G,,,
2043,X,,,
2044,T,,,
2045,P,V,,
2046,V,,,
2047,O,P,V,
2048,C,D,G,
2049,V,,,
2050,H,I,J,X
2051,H,I,J,X
2052,S,R,T,
2053,J,X,,
2054,I,J,X,
2055,C,D,G,
2056,Q,R,T,
2057,B,C,D,G
2058,E,F,D,G
2059,H,I,J,X
2060,B,C,D,G
2061,F,D,G,
2062,E,F,D,G
2063,O,P,V,
2064,B,C,D,G
2065,N,O,P,V
2066,V,,,
2067,W,S,R,T
2068,L,O,P,V
2069,M,O,P,V
2070,U,Q,R,T
2071,N,O,P,V
2072,M,O,P,V
2073,E,F,D,G
2074,T,,,
2075,J,X,,
2076,V,,,
2077,B,C,D,G
2078,J,X,,
2079,V,,,
2080,R,T,,
2081,H,I,J,X
2082,S,R,T,
2083,V,,,
2084,S,R,T,
2085,O,P,V,
2086,E,F,D,G
2087,K,J,X,
2088,T,,,
2089,D,G,,
2090,B,C,D,G
2091,B,C,D,G
2092,M,O,P,V
2093,W,S,R,T
2094,L,O,P,V
2095,I,J,X,
2096,K,J,X,
2097,J,X,,
2098,A,C,D,G
2099,M,O,P,V
2100,F,D,G,
2101,Q,R,T,
2102,X,,,
2103,K,J,X,
2104,N,O,P,V
2105,B,C,D,G
2106,L,O,P,V
2107,E,F,D,G
2108,X,,,
2109,O,P,V,
2110,X,,,
2111,D,G,,
2112,W,S,R,T
2113,X,,,
2114,Q,R,T,
2115,H,I,J,X
2116,H,I,J,X
2117,N,O,P,V
2118,L,O,P,V
2119,A,C,D,G
2120,M,O,P,V
2121,W,S,R,T
2122,X,,,
2123,B,C,D,G
2124,M,O,P,V
2125,H,I,J,X
2126,S,R,T,
2127,X,,,
2128,U,Q,R,T
2129,F,D,G,
2130,D,G,,
2131,Q,R,T,
2132,L,O,P,V
2133,D,G,,
2134,P,V,,
2135,C,D,G,
2136,F,D,G,
2137,C,D,G,
2138,S,R,T,
2139,P,V,,
2140,F,D,G,
2141,C,D,G,
2142,G,,,
2143,X,,,
2144,L,O,P,V
2145,C,D,G,
2146,X,,,
2147,R,T,,
2148,N,O,P,V
2149,W,S,R,T
2150,F,D,G,
2151,S,R,T,
2152,F,D,G,
2153,F,D,G,
2154,O,P,V,
2155,N,O,P,V
2156,L,O,P,V
2157,K,J,X,
2158,T,,,
2159,E,F,D,G
2160,K,J,X,
2161,W,S,R,T
2162,C,D,G,
2163,N,O,P,V
2164,W,S,R,T
2165,C,D,G,
2166,A,C,D,G
2167,W,S,R,T
2168,B,C,D,G
2169,G,,,
2170,V,,,
2171,G,,,
2172,U,Q,R,T
2173,F,D,G,
2174,T,,,
2175,R,T,,
2176,L,O,P,V
2177,C,D,G,
2178,S,R,T,
2179,H,I,J,X
2180,E,F,D,G
2181,O,P,V,
2182,P,V,,
2183,C,D,G,
2184,H,I,J,X
2185,G,,,
2186,I,J,X,
2187,X,,,
2188,M,O,P,V
2189,G,,,
2190,J,X,,
2191,K,J,X,
2192,S,R,T,
2193,I,J,X,
2194,W,S,R,T
2195,N,O,P,V
2196,U,Q,R,T
2197,N,O,P,V
2198,P,V,,
2199,I,J,X,
2200,A,C,D,G
2201,U,Q,R,T
2202,K,J,X,
2203,C,D,G,
2204,R,T,,
2205,S,R,T,
2206,V,,,
2207,P,V,,
2208,U,Q,R,T
2209,Q,R,T,
2210,O,P,V,
2211,S,R,T,
2212,F,D,G,
2213,Q,R,T,
2214,G,,,
2215,O,P,V,
2216,J,X,,
2217,M,O,P,V
2218,D,G,,
2219,T,,,
2220,N,O,P,V
2221,P,V,,
2222,N,O,P,V
2223,W,S,R,T
2224,Q,R,T,
2225,Q,R,T,
2226,T,,,
2227,N,O,P,V
2228,U,Q,R,T
2229,Q,R,T,
2230,C,D,G,
2231,D,G,,
2232,N,O,P,V
2233,O,P,V,
2234,D,G,,
2235,H,I,J,X
2236,P,V,,
2237,P,V,,
2238,L,O,P,V
2239,H,I,J,X
2240,J,X,,
2241,P,V,,
2242,E,F,D,G
2243,S,R,T,
2244,R,T,,
2245,Q,R,T,
2246,S,R,T,
2247,F,D,G,
2248,J,X,,
2249,R,T,,
2250,M,O,P,V
2251,L,O,P,V
2252,D,G,,
2253,D,G,,
2254,V,,,
2255,S,R,T,
2256,I,J,X,
2257,A,C,D,G
2258,L,O,P,V
2259,W,S,R,T
2260,C,D,G,
2261,K,J,X,
2262,H,I,J,X
2263,M,O,P,V
2264,L,O,P,V
2265,E,F,D,G
2266,F,D,G,
2267,O,P,V,
2268,X,,,
2269,Q,R,T,
2270,T,,,
2271,T,,,
2272,B,C,D,G
2273,E,F,D,G
2274,U,Q,R,T
2275,G,,,
2276,O,P,V,
2277,L,O,P,V
2278,O,P,V,
2279,H,I,J,X
2280,R,T,,
2281,M,O,P,V
2282,P,V,,
2283,C,D,G,
2284,P,V,,
2285,V,,,
2286,A,C,D,G
2287,D,G,,
2288,I,J,X,
2289,L,O,P,V
2290,C,D,G,
2291,P,V,,
2292,U,Q,R,T
2293,H,I,J,X
2294,J,X,,
2295,M,O,P,V
2296,E,F,D,G
2297,X,,,
2298,P,V,,
2299,T,,,
2300,B,C,D,G
2301,H,I,J,X
2302,G,,,
2303,V,,,
2304,H,I,J,X
2305,G,,,
2306,D,G,,
2307,B,C,D,G
2308,D,G,,
2309,V,,,
2310,X,,,
2311,G,,,
2312,W,S,R,T
2313,D,G,,
2314,P,V,,
2315,A,C,D,G
2316,A,C,D,G
2317,D,G,,
2318,J,X,,
2319,O,P,V,
2320,O,P,V,
2321,K,J,X,
2322,V,,,
2323,P,V,,
2324,S,R,T,
2325,W,S,R,T
2326,R,T,,
2327,H,I,J,X
2328,T,,,
2329,K,J,X,
2330,J,X,,
2331,S,R,T,
2332,J,X,,
2333,X,,,
2334,W,S,R,T
2335,U,Q,R,T
2336,M,O,P,V
2337,K,J,X,
2338,E,F,D,G
2339,H,I,J,X
2340,O,P,V,
2341,B,C,D,G
2342,I,J,X,
2343,P,V,,
2344,G,,,
2345,J,X,,
2346,T,,,
2347,S,R,T,
2348,U,Q,R,T
2349,B,C,D,G
2350,F,D,G,
2351,I,J,X,
2352,C,D,G,
2353,A,C,D,G
2354,A,C,D,G
2355,E,F,D,G
2356,R,T,,
2357,Q,R,T,
2358,R,T,,
2359,I,J,X,
2360,C,D,G,
2361,H,I,J,X
2362,T,,,
2363,G,,,
2364,E,F,D,G
2365,R,T,,
2366,V,,,
2367,T,,,
2368,X,,,
2369,D,G,,
2370,W,S,R,T
2371,R,T,,
2372,V,,,
2373,K,J,X,
2374,S,R,T,
2375,S,R,T,
2376,B,C,D,G
2377,S,R,T,
2378,T,,,
2379,K,J,X,
2380,C,D,G,
2381,C,D,G,
2382,S,R,T,
2383,T,,,
2384,F,D,G,
2385,A,C,D,G
2386,K,J,X,
2387,D,G,,
2388,V,,,
2389,D,G,,
2390,A,C,D,G
2391,N,O,P,V
2392,A,C,D,G
2393,H,I,J,X
2394,P,V,,
2395,S,R,T,
2396,J,X,,
2397,P,V,,
2398,P,V,,
2399,C,D,G,
2400,A,C,D,G
2401,K,J,X,
2402,O,P,V,
2403,M,O,P,V
2404,S,R,T,
2405,D,G,,
2406,W,S,R,T
2407,M,O,P,V
2408,T,,,
2409,K,J,X,
2410,O,P,V,
2411,F,D,G,
2412,U,Q,R,T
2413,T,,,
2414,U,Q,R,T
2415,P,V,,
2416,T,,,
2417,A,C,D,G
2418,O,P,V,
2419,S,R,T,
2420,E,F,D,G
2421,W,S,R,T
2422,D,G,,
2423,I,J,X,
2424,F,D,G,
2425,J,X,,
2426,T,,,
2427,O,P,V,
2428,C,D,G,
2429,A,C,D,G
2430,C,D,G,
2431,L,O,P,V
2432,X,,,
2433,C,D,G,
2434,L,O,P,V
2435,S,R,T,
2436,O,P,V,
2437,H,I,J,X
2438,K,J,X,
2439,B,C,D,G
2440,C,D,G,
2441,W,S,R,T
2442,I,J,X,
2443,X,,,
2444,N,O,P,V
2445,V,,,
2446,C,D,G,
2447,U,Q,R,T
2448,O,P,V,
2449,E,F,D,G
2450,L,O,P,V
2451,W,S,R,T
2452,F,D,G,
2453,E,F,D,G
2454,D,G,,
2455,I,J,X,
2456,T,,,
2457,S,R,T,
2458,C,D,G,
2459,A,C,D,G
2460,S,R,T,
2461,A,C,D,G
2462,E,F,D,G
2463,N,O,P,V
2464,H,I,J,X
2465,G,,,
2466,H,I,J,X
2467,V,,,
2468,E,F,D,G
2469,I,J,X,
2470,E,F,D,G
2471,B,C,D,G
2472,U,Q,R,T
2473,S,R,T,
2474,H,I,J,X
2475,A,C,D,G
2476,J,X,,
2477,X,,,
2478,L,O,P,V
2479,B,C,D,G
2480,R,T,,
2481,X,,,
2482,T,,,
2483,K,J,X,
2484,P,V,,
2485,R,T,,
2486,D,G,,
2487,V,,,
2488,B,C,D,G
2489,A,C,D,G
2490,T,,,
2491,L,O,P,V
2492,X,,,
2493,T,,,
2494,R,T,,
2495,H,I,J,X
2496,J,X,,
2497,O,P,V,
2498,K,J,X,
2499,U,Q,R,T
2500,V,,,
2501,H,I,J,X
2502,H,I,J,X
2503,L,O,P,V
2504,G,,,
2505,W,S,R,T
2506,J,X,,
2507,O,P,V,
2508,R,T,,
2509,P,V,,
2510,S,R,T,
2511,N,O,P,V
2512,H,I,J,X
2513,B,C,D,G
2514,M,O,P,V
2515,T,,,
2516,G,,,
2517,S,R,T,
2518,U,Q,R,T
2519,V,,,
2520,L,O,P,V
2521,J,X,,
2522,P,V,,
2523,H,I,J,X
2524,W,S,R,T
2525,A,C,D,G
2526,U,Q,R,T
2527,H,I,J,X
2528,K,J,X,
2529,P,V,,
2530,U,Q,R,T
2531,K,J,X,
2532,P,V,,
2533,U,Q,R,T
2534,E,F,D,G
2535,J,X,,
2536,V,,,
2537,K,J,X,
2538,J,X,,
2539,M,O,P,V
2540,C,D,G,
2541,D,G,,
2542,R,T,,
2543,K,J,X,
2544,D,G,,
2545,C,D,G,
2546,N,O,P,V
2547,P,V,,
2548,F,D,G,
2549,P,V,,
2550,A,C,D,G
2551,D,G,,
2552,P,V,,
2553,B,C,D,G
2554,N,O,P,V
2555,E,F,D,G
2556,O,P,V,
2557,B,C,D,G
2558,C,D,G,
2559,E,F,D,G
2560,R,T,,
2561,V,,,
2562,V,,,
2563,A,C,D,G
2564,R,T,,
2565,K,J,X,
2566,G,,,
2567,D,G,,
2568,U,Q,R,T
2569,X,,,
2570,N,O,P,V
2571,S,R,T,
2572,J,X,,
2573,N,O,P,V
2574,I,J,X,
2575,I,J,X,
2576,R,T,,
2577,C,D,G,
2578,I,J,X,
2579,S,R,T,
2580,V,,,
2581,F,D,G,
2582,X,,,
2583,M,O,P,V
2584,K,J,X,
2585,U,Q,R,T
2586,F,D,G,
2587,G,,,
2588,D,G,,
2589,V,,,
2590,K,J,X,
2591,C,D,G,
2592,I,J,X,
2593,S,R,T,
2594,K,J,X,
2595,H,I,J,X
2596,K,J,X,
2597,B,C,D,G
2598,A,C,D,G
2599,D,G,,
2600,H,I,J,X
2601,C,D,G,
2602,E,F,D,G
2603,P,V,,
2604,F,D,G,
2605,J,X,,
2606,P,V,,
2607,P,V,,
2608,S,R,T,
2609,X,,,
2610,J,X,,
2611,B,C,D,G
2612,E,F,D,G
2613,B,C,D,G
2614,O,P,V,
2615,X,,,
2616,F,D,G,
2617,M,O,P,V
2618,V,,,
2619,N,O,P,V
2620,I,J,X,
2621,F,D,G,
2622,I,J,X,
2623,H,I,J,X
2624,X,,,
2625,W,S,R,T
2626,J,X,,
2627,G,,,
2628,O,P,V,
2629,L,O,P,V
2630,F,D,G,
2631,G,,,
2632,M,O,P,V
2633,V,,,
2634,O,P,V,
2635,W,S,R,T
2636,H,I,J,X
2637,C,D,G,
2638,R,T,,
2639,J,X,,
2640,S,R,T,
2641,K,J,X,
2642,A,C,D,G
2643,M,O,P,V
2644,J,X,,
2645,C,D,G,
2646,I,J,X,
2647,R,T,,
2648,J,X,,
2649,U,Q,R,T
2650,Q,R,T,
2651,N,O,P,V
2652,O,P,V,
2653,J,X,,
2654,M,O,P,V
2655,J,X,,
2656,K,J,X,
2657,M,O,P,V
2658,Q,R,T,
2659,T,,,
2660,C,D,G,
2661,D,G,,
2662,R,T,,
2663,X,,,
2664,W,S,R,T
2665,R,T,,
2666,D,G,,
2667,P,V,,
2668,K,J,X,
2669,I,J,X,
2670,B,C,D,G
2671,J,X,,
2672,A,C,D,G
2673,S,R,T,
2674,G,,,
2675,C,D,G,
2676,B,C,D,G
2677,Q,R,T,
2678,T,,,
2679,A,C,D,G
2680,O,P,V,
2681,A,C,D,G
2682,C,D,G,
2683,T,,,
2684,H,I,J,X
2685,J,X,,
2686,D,G,,
2687,C,D,G,
2688,L,O,P,V
2689,N,O,P,V
2690,E,F,D,G
2691,R,T,,
2692,O,P,V,
2693,D,G,,
2694,F,D,G,
2695,K,J,X,
2696,Q,R,T,
2697,T,,,
2698,D,G,,
2699,R,T,,
2700,C,D,G,
2701,H,I,J,X
2702,L,O,P,V
2703,V,,,
2704,S,R,T,
2705,J,X,,
2706,V,,,
2707,J,X,,
2708,U,Q,R,T
2709,W,S,R,T
2710,V,,,
2711,U,Q,R,T
2712,S,R,T,
2713,V,,,
2714,H,I,J,X
2715,A,C,D,G
2716,G,,,
2717,K,J,X,
2718,X,,,
2719,T,,,
2720,M,O,P,V
2721,W,S,R,T
2722,S,R,T,
2723,G,,,
2724,R,T,,
2725,M,O,P,V
2726,O,P,V,
2727,C,D,G,
2728,V,,,
2729,W,S,R,T
2730,D,G,,
2731,R,T,,
2732,B,C,D,G
2733,T,,,
2734,E,F,D,G
2735,G,,,
2736,A,C,D,G
2737,B,C,D,G
2738,T,,,
2739,B,C,D,G
2740,J,X,,
2741,I,J,X,
2742,N,O,P,V
2743,U,Q,R,T
2744,R,T,,
2745,S,R,T,
2746,G,,,
2747,W,S,R,T
2748,R,T,,
2749,G,,,
2750,K,J,X,
2751,N,O,P,V
2752,H,I,J,X
2753,E,F,D,G
2754,G,,,
2755,H,I,J,X
2756,V,,,
2757,W,S,R,T
2758,F,D,G,
2759,M,O,P,V
2760,N,O,P,V
2761,K,J,X,
2762,G,,,
2763,S,R,T,
2764,X,,,
2765,K,J,X,
2766,S,R,T,
2767,K,J,X,
2768,W,S,R,T
2769,G,,,
2770,S,R,T,
2771,N,O,P,V
2772,K,J,X,
2773,Q,R,T,
2774,B,C,D,G
2775,D,G,,
2776,M,O,P,V
2777,A,C,D,G
2778,T,,,
2779,D,G,,
2780,O,P,V,
2781,C,D,G,
2782,Q,R,T,
2783,U,Q,R,T
2784,H,I,J,X
2785,H,I,J,X
2786,D,G,,
2787,U,Q,R,T
2788,K,J,X,
2789,F,D,G,
2790,V,,,
2791,B,C,D,G
2792,M,O,P,V
2793,W,S,R,T
2794,O,P,V,
2795,I,J,X,
2796,J,X,,
2797,L,O,P,V
2798,F,D,G,
2799,G,,,
2800,F,D,G,
2801,M,O,P,V
2802,E,F,D,G
2803,T,,,
2804,U,Q,R,T
2805,W,S,R,T
2806,O,P,V,
2807,J,X,,
2808,M,O,P,V
2809,P,V,,
2810,I,J,X,
2811,B,C,D,G
2812,G,,,
2813,Q,R,T,
2814,A,C,D,G
2815,G,,,
2816,H,I,J,X
2817,U,Q,R,T
2818,C,D,G,
2819,W,S,R,T
2820,R,T,,
2821,S,R,T,
2822,E,F,D,G
2823,N,O,P,V
2824,A,C,D,G
2825,D,G,,
2826,F,D,G,
2827,S,R,T,
2828,W,S,R,T
2829,U,Q,R,T
2830,A,C,D,G
2831,N,O,P,V
2832,W,S,R,T
2833,M,O,P,V
2834,D,G,,
2835,B,C,D,G
2836,T,,,
2837,K,J,X,
2838,P,V,,
2839,X,,,
2840,V,,,
2841,V,,,
2842,U,Q,R,T
2843,F,D,G,
2844,F,D,G,
2845,G,,,
2846,C,D,G,
2847,F,D,G,
2848,W,S,R,T
2849,N,O,P,V
2850,D,G,,
2851,T,,,
2852,R,T,,
2853,Q,R,T,
2854,L,O,P,V
2855,D,G,,
2856,P,V,,
2857,D,G,,
2858,S,R,T,
2859,Q,R,T,
2860,Q,R,T,
2861,F,D,G,
2862,F,D,G,
2863,O,P,V,
2864,K,J,X,
2865,K,J,X,
2866,N,O,P,V
2867,G,,,
2868,F,D,G,
2869,I,J,X,
2870,S,R,T,
2871,Q,R,T,
2872,R,T,,
2873,D,G,,
2874,V,,,
2875,B,C,D,G
2876,O,P,V,
2877,P,V,,
2878,I,J,X,
2879,J,X,,
2880,Q,R,T,
2881,E,F,D,G
2882,Q,R,T,
2883,E,F,D,G
2884,A,C,D,G
2885,R,T,,
2886,V,,,
2887,J,X,,
2888,C,D,G,
2889,K,J,X,
2890,K,J,X,
2891,W,S,R,T
2892,V,,,
2893,P,V,,
2894,W,S,R,T
2895,S,R,T,
2896,B,C,D,G
2897,L,O,P,V
2898,Q,R,T,
2899,K,J,X,
2900,V,,,
2901,G,,,
2902,G,,,
2903,B,C,D,G
2904,C,D,G,
2905,B,C,D,G
2906,J,X,,
2907,C,D,G,
2908,V,,,
2909,C,D,G,
2910,H,I,J,X
